table,id,oldUrl,newUrl,timestamp
cars,21,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419707/alfa-motors/cars/v2kmnk92jmzdgztjhraq.jpg","https://media.alfamotorworld.com/uploads/1763023174_v2kmnk92jmzdgztjhraq.jpg",2025-11-13T08:39:34.782Z
cars,21,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419708/alfa-motors/cars/jjujyunfngrhfpvabzrm.jpg","https://media.alfamotorworld.com/uploads/1763023175_jjujyunfngrhfpvabzrm.jpg",2025-11-13T08:39:35.933Z
cars,21,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419709/alfa-motors/cars/ooz4bo3z40kev1onpvjq.jpg","https://media.alfamotorworld.com/uploads/1763023176_ooz4bo3z40kev1onpvjq.jpg",2025-11-13T08:39:37.036Z
cars,21,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419711/alfa-motors/cars/vxtxsigf9eclutk61emw.jpg","https://media.alfamotorworld.com/uploads/1763023177_vxtxsigf9eclutk61emw.jpg",2025-11-13T08:39:38.061Z
cars,21,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419712/alfa-motors/cars/m6ubnqgsrvorjr91ju4k.jpg","https://media.alfamotorworld.com/uploads/1763023179_m6ubnqgsrvorjr91ju4k.jpg",2025-11-13T08:39:39.623Z
cars,25,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419751/alfa-motors/cars/cz314wcqhtpxbp6bpqpy.jpg","https://media.alfamotorworld.com/uploads/1763023332_cz314wcqhtpxbp6bpqpy.jpg",2025-11-13T08:42:12.292Z
cars,25,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419753/alfa-motors/cars/hisamoxqeemocqkbrzxr.jpg","https://media.alfamotorworld.com/uploads/1763023333_hisamoxqeemocqkbrzxr.jpg",2025-11-13T08:42:13.885Z
cars,25,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419754/alfa-motors/cars/r4s9zog4lszaohf1gyfw.jpg","https://media.alfamotorworld.com/uploads/1763023336_r4s9zog4lszaohf1gyfw.jpg",2025-11-13T08:42:16.015Z
cars,25,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419755/alfa-motors/cars/t1vc2zryie3sbop6y7uk.jpg","https://media.alfamotorworld.com/uploads/1763023337_t1vc2zryie3sbop6y7uk.jpg",2025-11-13T08:42:17.665Z
cars,25,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419757/alfa-motors/cars/u0806smgcttnklwvr3g3.jpg","https://media.alfamotorworld.com/uploads/1763023338_u0806smgcttnklwvr3g3.jpg",2025-11-13T08:42:18.910Z
cars,25,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419758/alfa-motors/cars/bgv3uas1lp2lqi5ll9br.jpg","https://media.alfamotorworld.com/uploads/1763023340_bgv3uas1lp2lqi5ll9br.jpg",2025-11-13T08:42:20.106Z
cars,25,"https://res.cloudinary.com/djfqzcbib/image/upload/v1761419759/alfa-motors/cars/tp4sonqtitohmlyfg0pl.jpg","https://media.alfamotorworld.com/uploads/1763023341_tp4sonqtitohmlyfg0pl.jpg",2025-11-13T08:42:21.456Z
